index,strategy_equity,brent_equity,wti_equity,zscore_20,position,zscore_w10,zscore_w15,zscore_w20,zscore_w30,zscore_w40,zscore_w60,zscore_w90
2023-05-26,1.3872248919015349,1.5061655259036915,1.5260394749880537,1.5015720669537689,0.0,1.198428314217267,1.3606655318794085,1.5015720669537689,1.3353610112848846,1.0205961481778507,-0.32241464611681536,-0.7836973954813364
2023-05-30,1.3872248919015349,1.4394206438811745,1.4586308408748063,0.42433777161897795,0.0,-0.09936181997166693,0.1252378666702108,0.42433777161897795,0.644758390341667,0.38557987088226137,-0.5065872396163534,-0.9278388699994028
2023-05-31,1.3872248919015349,1.4221961919181734,1.4298613579409307,2.5246002768806135,0.0,2.002452786146184,2.438861864444285,2.5246002768806135,2.0319206617478986,1.924863930236393,0.039079413703637766,-0.5147763661477991
2023-06-01,1.3972465251109218,1.453904845516708,1.472070559564508,0.5666538871066954,-1.0,0.13245658472452915,0.24838432098261828,0.5666538871066954,0.8033107752850335,0.6993389506155889,-0.3612333798437547,-0.8142366719914897
2023-06-02,1.39513584414634,1.4901154242717638,1.5065098587336296,1.4537907179199172,-1.0,0.9206412922203935,1.2758008438795048,1.4537907179199172,1.3395010391779714,1.3623348749784223,-0.10321351394370736,-0.627790036039845
2023-06-05,1.3924802894401123,1.501467975246953,1.5151197636329523,1.926681281229352,-1.0,1.3371308493330654,1.7818448197473344,1.926681281229352,1.6785319037864386,1.854310838886122,0.11522028379349919,-0.4762387214829602
2023-06-06,1.392191330405927,1.493247224264551,1.5065098587336296,1.658696175094596,-1.0,1.058062029435552,1.466216631075199,1.658696175094596,1.528489434590764,1.7890767453303265,0.13770952439437573,-0.469578775330679
2023-06-07,1.3954780902628723,1.506165525903691,1.5230995465380612,1.0329925482302051,-1.0,0.3595065957502496,0.7889311534025164,1.0329925482302051,1.1024075650172942,1.334743848163477,0.014465761273943637,-0.5599212881982845
2023-06-08,1.3895739970038659,1.4867879987787593,1.4970601116035245,1.899069878132166,-1.0,1.374123878611168,1.5613474294587373,1.899069878132166,1.6488594765886113,1.937308939758559,0.3632670021550635,-0.3342772344790253
2023-06-09,1.3891464292939273,1.4638872713281637,1.4735405237895038,1.4840483211878557,-1.0,0.948262541745361,1.1887697404098485,1.4840483211878557,1.4099902189020788,1.6804823596573926,0.3443942651826646,-0.3673725894616542
2023-06-12,1.3835593269842779,1.4061459409538029,1.4094918994557244,1.6469932403683436,-1.0,1.1657906697019411,1.3624560155924936,1.6469932403683436,1.8518010392125968,1.8153192414894423,0.544886169764515,-0.2685684390464309
2023-06-13,1.383785242810513,1.4541006203493678,1.4577908384299392,1.882028287980778,-1.0,1.6444233725243862,1.6472620828649025,1.882028287980778,2.118573487998793,2.0301251913584752,0.8359090801786685,-0.1279464573156072
2023-06-14,1.3811649486992537,1.4327656435627227,1.4336412888357895,1.8002939179137425,-1.0,1.5032662719270682,1.6591759197507723,1.8002939179137425,2.0972728802489384,2.004326871034646,1.0155399583763676,-0.06157491917106763
2023-06-15,1.3821028300964626,1.4811117232911648,1.4829904311336934,1.8621740576733397,-1.0,1.714355536856138,1.8237116642793507,1.8621740576733397,2.202684592234082,2.092916290907959,1.2966275700849026,0.06105270936873623
2023-06-16,1.3876360677612773,1.4995106749176828,1.5073498611784966,1.1039627894014072,-1.0,0.551979888977836,0.8943282636356037,1.1039627894014072,1.4607618204825334,1.5100601774957807,1.0046657850096423,-0.11711819597079769
2023-06-20,1.3757516018248155,1.485613648447686,1.4804704237990929,2.2836932657993083,-1.0,2.1186734634286077,2.215963470952075,2.2836932657993083,2.57862863898575,2.453688782689612,2.109664367694453,0.40709737172156035
