date,rv_w5,rv_w10,rv_w20,rv_w30,rv_w40,rv_w60,rv_w90,rv_w120,rv_w180,spy_price
2018-12-12,17.91267250214229,25.700119749494537,21.42456928442223,20.73447569228395,21.630638187690757,19.724873975978664,16.56259217066739,15.049011662987061,14.233171897383503,236.09642028808594
2018-12-13,18.014821341490507,21.998860038109296,21.425424676068737,20.271424371866267,20.834783650925434,19.676441335161556,16.54672362885629,15.046151974699725,14.228392278275331,236.01634216308594
2018-12-14,14.698950168451253,23.246613404528347,22.217215042804774,20.665555931661984,21.270694037949905,19.977582216941116,16.797578413946653,15.153740363760368,14.31972772498542,231.65835571289062
2018-12-17,18.29760458627805,23.410081139672553,22.59103295418233,21.01774987719475,21.508516554995364,20.20281278174522,17.08622597124803,15.40680601083647,14.279769219141683,227.11363220214844
2018-12-18,18.00684152292209,20.812402590537534,22.502174205678536,20.990013077981722,21.506729048693543,20.202362917514176,17.08617984071176,15.364351967379045,14.199241479682092,226.8645782470703
2018-12-19,15.00712097239034,16.757939426300585,22.358093846231387,21.1882402196339,21.747979203975323,20.371217434837824,17.218220275052087,15.482932792745437,14.250935456809326,223.4671173095703
2018-12-20,11.882012552583692,16.9907667119514,22.17067562055087,21.361350317857706,22.024777081823053,20.566947984019837,17.397079503853963,15.64693449191581,14.344949420384767,219.82957458496094
2018-12-21,12.42653496597295,16.377085684458457,22.83630710967036,20.55627122053681,21.350507982760945,20.890539190479267,17.63801662441126,15.901861631329114,14.307734031625177,215.32534790039062
2018-12-24,14.889985009400764,17.517225274283067,24.134726199928448,21.45568260608025,21.54946323562175,21.401569517967218,18.094147688351097,16.323185302353494,14.623852824751598,209.6358184814453
2018-12-26,50.24471424345478,35.60104217177526,30.461425533333237,26.888900023425926,25.118834102817146,24.08086532061508,20.043569990484393,17.907996674373823,15.703632583611585,220.22764587402344
2018-12-27,50.13488872186807,35.85852986448435,30.6317240529065,26.695708694949083,25.203949432860206,24.141166220595334,20.084465779000958,17.899880854498356,15.72056939144844,221.91842651367188
2018-12-28,48.354553096606395,35.8200422577384,29.016138354476322,26.69800664805986,24.86135559771069,24.139217430596695,20.075794522014533,17.84350172108837,15.688963427450323,221.6321563720703
2018-12-31,44.05122934587566,35.783660293008694,29.398500393267867,26.874418309071835,24.804236939054373,24.24192211975935,20.13814494197492,17.886103019459178,15.721900562741057,223.5733642578125
2019-01-02,33.68512040063823,34.63348697964692,29.21945248029673,26.62531262581774,24.611257385554367,24.22477889166951,20.14166016959905,17.862276183751923,15.69069117386716,223.80592346191406
2019-01-03,20.94050362539171,36.44263531666845,29.218866083254596,27.274712146254398,25.202501185366756,24.61968047414318,20.492517873894503,18.11678659052454,15.883274098009423,218.46534729003906
2019-01-04,32.77436328766446,40.11855156746079,30.71814012925757,28.974236530073693,26.704972340453104,25.699433847509823,21.280445397248243,18.791443144233316,16.382245743208852,225.78298950195312
2019-01-07,32.553428111385614,38.96882258094722,30.956531656760628,28.658321678723418,26.738098880692444,25.778454781723248,21.280315212772372,18.832510375108466,16.39815155519113,227.56320190429688
2019-01-08,32.59715224978473,36.58246055616689,30.21229101211941,28.788806475346373,26.233225566005792,25.111969613999786,21.35291832046011,18.876506956522803,16.407066652266348,229.70127868652344
2019-01-09,32.378939931249704,31.6986384959296,30.261744623360848,28.772002911078193,26.28628089971498,24.75624456486981,21.347128995147983,18.88791203269723,16.41667321232742,230.77476501464844
2019-01-10,19.62028560091531,22.144400361893492,30.29789572062655,28.3741091658715,26.23806410177087,24.586357871235798,21.35566152986394,18.891228569546467,16.34407560458591,231.58876037597656
2019-01-11,5.6712592211935755,22.21192606988655,30.229264981639208,28.349758009545067,25.864004870580427,24.567410596459812,21.356256890418663,18.891421307811985,16.34158419122699,231.67823791503906
2019-01-14,9.108600195277576,22.683339911051327,30.28741038579139,27.461769701543194,25.89494243061301,24.132557055595452,21.372640296692527,18.905722940363017,16.31294995401452,230.26480102539062
2019-01-15,10.167844256000642,22.884428771034088,29.86667507245605,27.729243410971133,26.040316575619286,24.270765146183177,21.47399947265723,18.96877437370215,16.369380367426412,232.9038848876953
2019-01-16,10.029712556689685,22.841704212940016,28.9134445364615,27.66377406097972,25.897084971186345,24.11824337059697,21.47850937046146,18.9278931415808,16.34617046593988,233.4674072265625
2019-01-17,10.722903333407444,16.568207519350008,28.972797023496632,27.449977217147147,25.97018116288079,24.178641307428077,21.52449013327021,18.962582647983684,16.369198765482775,235.23867797851562
2019-01-18,12.41561739131482,9.111848511321396,28.514601724812273,26.17014627464844,25.86073431745029,24.331377389608953,21.649694939660822,19.044242296374673,16.42333137983217,238.36972045898438
2019-01-22,17.097566233363935,13.010124108943344,28.27746077433598,26.45405129869498,25.659010170670786,24.462810064954795,21.745166964683747,19.127317896578553,16.50097537378587,235.14918518066406
2019-01-23,15.8581262137271,12.563257394769229,26.83331447834048,25.570044758051065,25.650353600412817,23.662587815607935,21.74999554880786,19.115097768748328,16.43222759830056,235.64122009277344
2019-01-24,15.911673508851631,12.542459934747576,24.277184870225856,25.56568752801921,25.59064211029525,23.3686602569846,21.721387176297178,19.114638315616485,16.427622472800234,235.7665252685547
2019-01-25,16.115824673747674,12.93047169418118,17.762737620814566,25.676118923665765,25.354838455529467,23.149798624179688,21.777040454719028,19.139039786698703,16.457630268282582,237.7613983154297
2019-01-28,13.666194318781233,13.90885927441535,18.15496946082168,25.7444001271299,25.413140642440187,23.175560446894284,21.79394338907265,19.15561708702962,16.443317614267272,235.95437622070312
2019-01-29,9.216979947423896,13.338058572489276,18.156176573129265,25.747476875909715,24.702312460466995,22.97577865221202,21.768420909325606,19.14657966076323,16.40647782706107,235.64122009277344
2019-01-30,14.450867007199623,14.318827156023662,18.614658615281126,25.519420311883717,25.04733303471584,23.102631680125768,21.945565494405116,19.284673703418182,16.50976614374223,239.37159729003906
2019-01-31,14.683792586410863,14.626999299205512,18.682554212826776,24.822567101533075,25.100866926361327,23.06921302432475,21.95359583554578,19.330356529991615,16.54216385811706,241.473876953125
2019-02-01,14.532379084736242,14.493953397806411,15.640082241972578,24.808768937572605,24.86064770706999,23.036522874966934,21.95449528815247,19.330066151107207,16.52147636420892,241.59019470214844
2019-02-04,10.925438609934018,13.517890314894936,11.551917373084809,24.29834027881168,23.53367127241816,23.053903980462138,21.98796243207766,19.336107449156362,16.534732062022293,243.2899169921875
2019-02-05,9.091010689183813,10.352297689206022,11.45123003966756,23.605218515170144,23.547090243695713,23.033455302830504,22.002438841318888,19.339303670693248,16.541287698949077,244.30975341796875
2019-02-06,6.765412147462204,10.651547000649707,11.360917687380901,22.532465637799387,22.74535095748574,22.60134761762381,21.998931304145476,19.316751839632364,16.53920594835884,243.9876251220703
2019-02-07,10.032567487220176,12.479966886089676,12.180526076488944,21.013746596730183,22.899878253716263,22.678634001650593,22.04304636075484,19.33557307792,16.55552432650306,241.66177368164062
2019-02-08,10.060694342580028,12.032935006959466,12.178099004188338,15.945420127361551,22.899590046711527,22.597042542529362,22.044929764330817,19.298843447723506,16.552594929286197,241.95701599121094
2019-02-11,8.218518930340409,10.896304526778373,12.17488757213753,15.90482208860988,22.874142157100646,22.268119128972845,22.03490407374168,19.291359613399557,16.54966829438738,242.09117126464844
2019-02-12,12.722263132834854,11.760594442805234,12.313883880162264,16.104281434742575,23.073406594179104,22.417303992233318,22.150988397613002,19.382094482623952,16.61654064811059,245.20436096191406
