maturity,strike,price
0.2448717948717949,108,1.576912737934137
0.2448717948717949,110,1.1556323829406274
0.2448717948717949,112,0.8319197176855244
0.2448717948717949,114,0.588464568537324
0.2448717948717949,116,0.4091586378744694
0.2448717948717949,118,0.27975174141735515
0.2448717948717949,120,0.18817301983729706
0.2448717948717949,122,0.12458087798739692
0.2448717948717949,124,0.0812211815002768
0.2448717948717949,126,0.05217119341682608
0.2448717948717949,128,0.03303376939636382
0.2448717948717949,130,0.02062881500067959
0.2692307692307692,70,30.936379139241538
0.2692307692307692,72,28.96386829410409
0.2692307692307692,74,26.99250869170912
0.2692307692307692,76,25.02366755358196
0.2692307692307692,78,23.059881137822003
0.2692307692307692,80,21.10545849471282
0.2692307692307692,82,19.16713386422707
0.2692307692307692,84,17.254622150792656
0.2692307692307692,86,15.380893414580228
0.2692307692307692,88,13.561994713403209
0.2692307692307692,90,11.816320687787993
0.2692307692307692,92,10.163354058942431
0.2692307692307692,94,8.622029126015349
0.2692307692307692,96,7.208973405845981
0.2692307692307692,98,5.936922151979303
0.2692307692307692,100,4.813566677201791
0.2692307692307692,102,3.8410034280666068
0.2692307692307692,104,3.0158269108318976
0.2692307692307692,106,2.329790802369203
0.2692307692307692,108,1.7708757168653868
0.2692307692307692,110,1.3245628831925451
0.2692307692307692,112,0.9751193132488893
0.2692307692307692,114,0.7067399719623442
0.2692307692307692,116,0.5044493351686743
0.2692307692307692,118,0.35472278233855725
0.2692307692307692,120,0.24583624445868768
0.2692307692307692,122,0.1679848272015878
0.2692307692307692,124,0.11322718560687361
0.2692307692307692,126,0.07531502373584775
0.2692307692307692,128,0.04946053996934907
0.2692307692307692,130,0.0320833009541317
0.2935897435897436,70,31.020760477921655
0.2935897435897436,72,29.051112236094255
0.2935897435897436,74,27.083117996208728
0.2935897435897436,76,25.118515590147183
0.2935897435897436,78,23.160339642235712
0.2935897435897436,80,21.21347571546133
0.2935897435897436,82,19.285203809291687
0.2935897435897436,84,17.38559562084565
0.2935897435897436,86,15.52761622846127
0.2935897435897436,88,13.726810667891826
0.2935897435897436,90,12.000528928522357
0.2935897435897436,92,10.366742151604342
0.2935897435897436,94,8.84259991955905
0.2935897435897436,96,7.442944423444423
0.2935897435897436,98,6.179012958619786
0.2935897435897436,100,5.057522848845117
0.2935897435897436,102,4.080255560334223
0.2935897435897436,104,3.244162242502483
0.2935897435897436,106,2.5419254140842042
0.2935897435897436,108,1.9628493183043858
0.2935897435897436,110,1.4939231519881204
0.2935897435897436,112,1.1209056661273848
0.2935897435897436,114,0.829308225495403
0.2935897435897436,116,0.6051948754692589
0.2935897435897436,118,0.4357613486820977
0.2935897435897436,120,0.3096921326164024
0.2935897435897436,122,0.2173213005573711
